date,package,ghsa_id,severity,alert_number,bucket,action,dismissed_reason,notes
2026-08-01,hono,GHSA-458j-xx4x-4375,medium,50,resolved-in-lockfile,pending-merge,,installed 4.12.33 >= patched 4.12.14
2026-08-01,hono,GHSA-5pq2-9x2x-5p6w,medium,20,resolved-in-lockfile,pending-merge,,installed 4.12.33 >= patched 4.12.4
2026-08-01,hono,GHSA-69xw-7hcm-h432,medium,59,resolved-in-lockfile,pending-merge,,installed 4.12.33 >= patched 4.12.16
2026-08-01,hono,GHSA-88fw-hqm2-52qc,high,100,resolved-in-lockfile,pending-merge,,installed 4.12.33 >= patched 4.12.25
2026-08-01,hono,GHSA-9vqf-7f2p-gf9v,medium,58,resolved-in-lockfile,pending-merge,,installed 4.12.33 >= patched 4.12.16
2026-08-01,hono,GHSA-f577-qrjj-4474,medium,81,resolved-in-lockfile,pending-merge,,installed 4.12.33 >= patched 4.12.21
2026-08-01,hono,GHSA-gq3j-xvxp-8hrf,low,5,resolved-in-lockfile,pending-merge,,installed 4.12.33 >= patched 4.11.10
2026-08-01,hono,GHSA-hm8q-7f3q-5f36,low,63,resolved-in-lockfile,pending-merge,,installed 4.12.33 >= patched 4.12.18
2026-08-01,hono,GHSA-hvrm-45r6-mjfj,medium,116,resolved-in-lockfile,pending-merge,,installed 4.12.33 >= patched 4.12.27
2026-08-01,hono,GHSA-j6c9-x7qj-28xf,medium,99,resolved-in-lockfile,pending-merge,,installed 4.12.33 >= patched 4.12.25
2026-08-01,hono,GHSA-p6xx-57qc-3wxr,medium,19,resolved-in-lockfile,pending-merge,,installed 4.12.33 >= patched 4.12.4
2026-08-01,hono,GHSA-p77w-8qqv-26rm,medium,61,resolved-in-lockfile,pending-merge,,installed 4.12.33 >= patched 4.12.18
2026-08-01,hono,GHSA-q5qw-h33p-qvwr,high,18,resolved-in-lockfile,pending-merge,,installed 4.12.33 >= patched 4.12.4
2026-08-01,hono,GHSA-qp7p-654g-cw7p,medium,64,resolved-in-lockfile,pending-merge,,installed 4.12.33 >= patched 4.12.18
2026-08-01,hono,GHSA-r5rp-j6wh-rvv4,medium,49,resolved-in-lockfile,pending-merge,,installed 4.12.33 >= patched 4.12.12
2026-08-01,hono,GHSA-rv63-4mwf-qqc2,medium,102,resolved-in-lockfile,pending-merge,,installed 4.12.33 >= patched 4.12.25
2026-08-01,hono,GHSA-v8w9-8mx6-g223,medium,24,resolved-in-lockfile,pending-merge,,installed 4.12.33 >= patched 4.12.7
2026-08-01,hono,GHSA-w62v-xxxg-mg59,medium,115,resolved-in-lockfile,pending-merge,,installed 4.12.33 >= patched 4.12.27
2026-08-01,hono,GHSA-wgpf-jwqj-8h8p,medium,101,resolved-in-lockfile,pending-merge,,installed 4.12.33 >= patched 4.12.25
2026-08-01,hono,GHSA-wmmm-f939-6g9c,medium,45,resolved-in-lockfile,pending-merge,,installed 4.12.33 >= patched 4.12.12
2026-08-01,hono,GHSA-wwfh-h76j-fc44,medium,98,resolved-in-lockfile,pending-merge,,installed 4.12.33 >= patched 4.12.25
2026-08-01,hono,GHSA-xf4j-xp2r-rqqx,medium,46,resolved-in-lockfile,pending-merge,,installed 4.12.33 >= patched 4.12.12
2026-08-01,hono,GHSA-xgm2-5f3f-mvvc,medium,114,resolved-in-lockfile,pending-merge,,installed 4.12.33 >= patched 4.12.27
2026-08-01,hono,GHSA-xpcf-pg52-r92g,medium,48,resolved-in-lockfile,pending-merge,,installed 4.12.33 >= patched 4.12.12
2026-08-01,hono,GHSA-xrhx-7g5j-rcj5,medium,83,resolved-in-lockfile,pending-merge,,installed 4.12.33 >= patched 4.12.21
2026-08-01,ip-address,GHSA-v2v4-37r5-5v8g,medium,57,resolved-in-lockfile,pending-merge,,installed 10.4.0 >= patched 10.1.1
2026-08-01,js-yaml,GHSA-52cp-r559-cp3m,high,112,resolved-in-lockfile,pending-merge,,installed 4.3.1 >= patched 4.3.0
2026-08-01,js-yaml,GHSA-h67p-54hq-rp68,medium,107,resolved-in-lockfile,pending-merge,,installed 4.3.1 >= patched 4.2.0
2026-08-01,lodash-es,GHSA-f23m-r3pf-42rh,medium,37,resolved-in-lockfile,pending-merge,,installed 4.18.1 >= patched 4.18.0
2026-08-01,lodash-es,GHSA-r5fr-rjxr-66jc,high,38,resolved-in-lockfile,pending-merge,,installed 4.18.1 >= patched 4.18.0
2026-08-01,mermaid,GHSA-6m6c-36f7-fhxh,medium,68,resolved-in-lockfile,pending-merge,,installed 11.16.0 >= patched 11.15.0
2026-08-01,mermaid,GHSA-87f9-hvmw-gh4p,medium,67,resolved-in-lockfile,pending-merge,,installed 11.16.0 >= patched 11.15.0
2026-08-01,mermaid,GHSA-ghcm-xqfw-q4vr,medium,65,resolved-in-lockfile,pending-merge,,installed 11.16.0 >= patched 11.15.0
2026-08-01,mermaid,GHSA-xcj9-5m2h-648r,medium,66,resolved-in-lockfile,pending-merge,,installed 11.16.0 >= patched 11.15.0
2026-08-01,minimatch,GHSA-23c5-xmqv-rm74,high,"12,13,14",resolved-in-lockfile,pending-merge,,installed 10.2.6/3.1.5/9.0.9 >= patched 3.1.4
2026-08-01,minimatch,GHSA-3ppc-4f35-3m26,high,"8,9,10",resolved-in-lockfile,pending-merge,,installed 10.2.6/3.1.5/9.0.9 >= patched 3.1.3
2026-08-01,minimatch,GHSA-7r86-cg39-jmmj,high,"15,16,17",resolved-in-lockfile,pending-merge,,installed 10.2.6/3.1.5/9.0.9 >= patched 3.1.3
2026-08-01,path-to-regexp,GHSA-27v5-c462-wpq7,medium,36,open,none,,transitive (build/lint tooling); a residual copy still < patched 8.4.0
2026-08-01,path-to-regexp,GHSA-j3q9-mxjg-w52f,high,35,open,none,,transitive (build/lint tooling); a residual copy still < patched 8.4.0
2026-08-01,picomatch,GHSA-3v7f-55p6-f55p,medium,"29,30",resolved-in-lockfile,pending-merge,,installed 2.3.2/4.0.5 >= patched 2.3.2
2026-08-01,picomatch,GHSA-c2c7-rcm5-vvqj,high,"27,28",resolved-in-lockfile,pending-merge,,installed 2.3.2/4.0.5 >= patched 2.3.2
2026-08-01,postcss,GHSA-6g55-p6wh-862q,high,127,resolved-in-lockfile,pending-merge,,installed 8.5.25 >= patched 8.5.12
2026-08-01,postcss,GHSA-qx2v-qp2m-jg93,medium,69,resolved-in-lockfile,pending-merge,,installed 8.5.25 >= patched 8.5.10
2026-08-01,postcss,GHSA-r28c-9q8g-f849,high,129,resolved-in-lockfile,pending-merge,,installed 8.5.25 >= patched 8.5.18
2026-08-01,qs,GHSA-q8mj-m7cp-5q26,medium,71,resolved-in-lockfile,pending-merge,,installed 6.15.3 >= patched 6.15.2
2026-08-01,react-router,GHSA-2j2x-hqr9-3h42,medium,79,resolved-in-lockfile,pending-merge,,installed 7.18.2 >= patched 7.14.1
2026-08-01,react-router,GHSA-337j-9hxr-rhxg,medium,124,resolved-in-lockfile,pending-merge,,installed 7.18.2 >= patched 7.18.0
2026-08-01,react-router,GHSA-49rj-9fvp-4h2h,high,78,resolved-in-lockfile,pending-merge,,installed 7.18.2 >= patched 7.14.2
2026-08-01,react-router,GHSA-84g9-w2xq-vcv6,low,88,resolved-in-lockfile,pending-merge,,installed 7.18.2 >= patched 7.15.1
2026-08-01,react-router,GHSA-8646-j5j9-6r62,high,76,resolved-in-lockfile,pending-merge,,installed 7.18.2 >= patched 7.13.2
2026-08-01,react-router,GHSA-8x6r-g9mw-2r78,high,80,resolved-in-lockfile,pending-merge,,installed 7.18.2 >= patched 7.15.0
2026-08-01,react-router,GHSA-chx6-hx7r-mcp5,high,123,resolved-in-lockfile,pending-merge,,installed 7.18.2 >= patched 7.18.0
2026-08-01,react-router,GHSA-f22v-gfqf-p8f3,medium,77,resolved-in-lockfile,pending-merge,,installed 7.18.2 >= patched 7.13.2
2026-08-01,react-router,GHSA-h8fp-f39c-q6mh,medium,120,resolved-in-lockfile,pending-merge,,installed 7.18.2 >= patched 7.18.0
2026-08-01,react-router,GHSA-qwww-vcr4-c8h2,high,"121,122",false-positive,dismissed,not_used,RSC mode not used by Linkr (client SPA)
2026-08-01,react-router,GHSA-rxv8-25v2-qmq8,high,85,resolved-in-lockfile,pending-merge,,installed 7.18.2 >= patched 7.14.0
2026-08-01,react-router,GHSA-wrjc-x8rr-h8h6,medium,125,resolved-in-lockfile,pending-merge,,installed 7.18.2 >= patched 7.18.0
2026-08-01,rollup,GHSA-mw96-cpmx-2vgc,high,11,resolved-in-lockfile,pending-merge,,installed 4.62.3 >= patched 4.59.0
2026-08-01,turbo,GHSA-3qcw-2rhx-2726,low,73,resolved-in-lockfile,pending-merge,,installed 2.10.8 >= patched 2.9.14
2026-08-01,turbo,GHSA-hcf7-66rw-9f5r,medium,74,resolved-in-lockfile,pending-merge,,installed 2.10.8 >= patched 2.9.14
2026-08-01,uuid,GHSA-w5hq-g745-h8pq,medium,72,resolved-in-lockfile,pending-merge,,installed 14.0.1 >= patched 11.1.1
2026-08-01,vite,GHSA-4w7w-66w2-5vf9,medium,43,resolved-in-lockfile,pending-merge,,installed 7.3.6 >= patched 7.3.2
2026-08-01,vite,GHSA-fx2h-pf6j-xcff,high,96,resolved-in-lockfile,pending-merge,,installed 7.3.6 >= patched 7.3.5
2026-08-01,vite,GHSA-p9ff-h696-f583,high,41,resolved-in-lockfile,pending-merge,,installed 7.3.6 >= patched 7.3.2
2026-08-01,vite,GHSA-v2wj-q39q-566r,high,42,resolved-in-lockfile,pending-merge,,installed 7.3.6 >= patched 7.3.2
2026-08-01,vite,GHSA-v6wh-96g9-6wx3,medium,97,resolved-in-lockfile,pending-merge,,installed 7.3.6 >= patched 7.3.5
2026-08-01,ws,GHSA-58qx-3vcg-4xpx,medium,75,resolved-in-lockfile,pending-merge,,installed 8.21.1 >= patched 8.20.1
2026-08-01,ws,GHSA-96hv-2xvq-fx4p,high,104,resolved-in-lockfile,pending-merge,,installed 8.21.1 >= patched 8.21.0
2026-08-01,xlsx,GHSA-4r6h-8v6p-xvw6,high,"1,3",resolved-in-lockfile,pending-merge,,SheetJS 0.20.3 (official CDN) > vulnerable range
2026-08-01,xlsx,GHSA-5pgg-2g8v-p4x9,high,"2,4",resolved-in-lockfile,pending-merge,,SheetJS 0.20.3 (official CDN) > vulnerable range
